movie_id,imdb_id,director,plot,box_office,released_date,runtime_minutes,language,country
1,tt0114709,John Lasseter,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",229693424,1995-11-22,81,English,United States
2,tt0113497,Joe Johnston,A magic board game summons jungle perils and a missing boy.,100499940,1995-12-15,104,"English, French",United States
3,tt0113228,Howard Deutch,"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention.",71518503,1995-12-22,101,"English, Italian, German",United States
4,tt0114885,Forest Whitaker,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",67052156,1995-12-22,124,English,United States
5,tt0113041,Charles Shyer,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",76594107,1995-12-08,106,English,United States
6,tt0113277,Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,67436818,1995-12-15,170,"English, Spanish",United States
7,tt0114319,Sydney Pollack,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",53672080,1995-12-15,127,"English, French","Germany, United States"
8,tt0112302,Peter Hewitt,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,23920048,1995-12-22,97,English,United States
9,tt0114576,Peter Hyams,"Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.",20350171,1995-12-22,111,English,United States
10,tt0113189,Martin Campbell,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",106429941,1995-11-17,130,"English, Russian, Spanish","United Kingdom, United States, Russia"
